tool,size,metric,run,value,unit,timestamp,session
vite,m-500,M4,1,91,ms,2026-09-15T07:12:03Z,1
vite,m-500,M4,2,37,ms,2026-09-15T07:12:03Z,1
vite,m-500,M4,3,143,ms,2026-09-15T07:12:03Z,1
vite,m-500,M4,4,135,ms,2026-09-15T07:12:03Z,1
vite,m-500,M4,5,51,ms,2026-09-15T07:12:03Z,2
vite,m-500,M4,6,88,ms,2026-09-15T07:12:03Z,2
vite,m-500,M4,7,174,ms,2026-09-15T07:12:03Z,2
vite,m-500,M4,8,71,ms,2026-09-15T07:12:03Z,2
vite,m-500,M4,9,99,ms,2026-09-15T07:12:03Z,3
vite,m-500,M4,10,31,ms,2026-09-15T07:12:03Z,3
vite,m-500,M4,11,145,ms,2026-09-15T07:12:03Z,3
vite,m-500,M4,12,115,ms,2026-09-15T07:12:03Z,3
vite,m-500,M4,13,129,ms,2026-09-15T07:12:03Z,4
vite,m-500,M4,14,40,ms,2026-09-15T07:12:03Z,4
vite,m-500,M4,15,38,ms,2026-09-15T07:12:03Z,4
vite,m-500,M4,16,130,ms,2026-09-15T07:12:03Z,4
vite,m-500,M4,17,181,ms,2026-09-15T07:12:03Z,5
vite,m-500,M4,18,40,ms,2026-09-15T07:12:03Z,5
vite,m-500,M4,19,53,ms,2026-09-15T07:12:03Z,5
vite,m-500,M4,20,46,ms,2026-09-15T07:12:03Z,5
