tool,size,metric,run,value,unit,timestamp,session
vite,xl-5000,M4,1,944,ms,2026-09-15T07:12:03Z,1
vite,xl-5000,M4,2,61,ms,2026-09-15T07:12:03Z,1
vite,xl-5000,M4,3,155,ms,2026-09-15T07:12:03Z,1
vite,xl-5000,M4,4,155,ms,2026-09-15T07:12:03Z,1
vite,xl-5000,M4,5,225,ms,2026-09-15T07:12:03Z,2
vite,xl-5000,M4,6,96,ms,2026-09-15T07:12:03Z,2
vite,xl-5000,M4,7,65,ms,2026-09-15T07:12:03Z,2
vite,xl-5000,M4,8,37,ms,2026-09-15T07:12:03Z,2
vite,xl-5000,M4,9,94,ms,2026-09-15T07:12:03Z,3
vite,xl-5000,M4,10,62,ms,2026-09-15T07:12:03Z,3
vite,xl-5000,M4,11,25,ms,2026-09-15T07:12:03Z,3
vite,xl-5000,M4,12,148,ms,2026-09-15T07:12:03Z,3
vite,xl-5000,M4,13,275,ms,2026-09-15T07:12:03Z,4
vite,xl-5000,M4,14,55,ms,2026-09-15T07:12:03Z,4
vite,xl-5000,M4,15,41,ms,2026-09-15T07:12:03Z,4
vite,xl-5000,M4,16,141,ms,2026-09-15T07:12:03Z,4
vite,xl-5000,M4,17,242,ms,2026-09-15T07:12:03Z,5
vite,xl-5000,M4,18,99,ms,2026-09-15T07:12:03Z,5
vite,xl-5000,M4,19,34,ms,2026-09-15T07:12:03Z,5
vite,xl-5000,M4,20,43,ms,2026-09-15T07:12:03Z,5
