tool,size,metric,run,value,unit,timestamp,session
vite,xs-50,M4,1,51,ms,2026-09-15T07:12:03Z,1
vite,xs-50,M4,2,99,ms,2026-09-15T07:12:03Z,1
vite,xs-50,M4,3,56,ms,2026-09-15T07:12:03Z,1
vite,xs-50,M4,4,44,ms,2026-09-15T07:12:03Z,1
vite,xs-50,M4,5,79,ms,2026-09-15T07:12:03Z,2
vite,xs-50,M4,6,96,ms,2026-09-15T07:12:03Z,2
vite,xs-50,M4,7,84,ms,2026-09-15T07:12:03Z,2
vite,xs-50,M4,8,38,ms,2026-09-15T07:12:03Z,2
vite,xs-50,M4,9,35,ms,2026-09-15T07:12:03Z,3
vite,xs-50,M4,10,119,ms,2026-09-15T07:12:03Z,3
vite,xs-50,M4,11,35,ms,2026-09-15T07:12:03Z,3
vite,xs-50,M4,12,143,ms,2026-09-15T07:12:03Z,3
vite,xs-50,M4,13,52,ms,2026-09-15T07:12:03Z,4
vite,xs-50,M4,14,82,ms,2026-09-15T07:12:03Z,4
vite,xs-50,M4,15,51,ms,2026-09-15T07:12:03Z,4
vite,xs-50,M4,16,121,ms,2026-09-15T07:12:03Z,4
vite,xs-50,M4,17,50,ms,2026-09-15T07:12:03Z,5
vite,xs-50,M4,18,134,ms,2026-09-15T07:12:03Z,5
vite,xs-50,M4,19,113,ms,2026-09-15T07:12:03Z,5
vite,xs-50,M4,20,41,ms,2026-09-15T07:12:03Z,5
