tool,size,metric,run,value,unit,timestamp,session
webpack,m-500,M4,1,445,ms,2026-09-15T07:12:03Z,1
webpack,m-500,M4,2,445,ms,2026-09-15T07:12:03Z,1
webpack,m-500,M4,3,445,ms,2026-09-15T07:12:03Z,1
webpack,m-500,M4,4,444,ms,2026-09-15T07:12:03Z,1
webpack,m-500,M4,5,468,ms,2026-09-15T07:12:03Z,2
webpack,m-500,M4,6,453,ms,2026-09-15T07:12:03Z,2
webpack,m-500,M4,7,422,ms,2026-09-15T07:12:03Z,2
webpack,m-500,M4,8,437,ms,2026-09-15T07:12:03Z,2
webpack,m-500,M4,9,451,ms,2026-09-15T07:12:03Z,3
webpack,m-500,M4,10,416,ms,2026-09-15T07:12:03Z,3
webpack,m-500,M4,11,429,ms,2026-09-15T07:12:03Z,3
webpack,m-500,M4,12,451,ms,2026-09-15T07:12:03Z,3
webpack,m-500,M4,13,479,ms,2026-09-15T07:12:03Z,4
webpack,m-500,M4,14,461,ms,2026-09-15T07:12:03Z,4
webpack,m-500,M4,15,427,ms,2026-09-15T07:12:03Z,4
webpack,m-500,M4,16,441,ms,2026-09-15T07:12:03Z,4
webpack,m-500,M4,17,451,ms,2026-09-15T07:12:03Z,5
webpack,m-500,M4,18,476,ms,2026-09-15T07:12:03Z,5
webpack,m-500,M4,19,397,ms,2026-09-15T07:12:03Z,5
webpack,m-500,M4,20,426,ms,2026-09-15T07:12:03Z,5
