tool,size,metric,run,value,unit,timestamp,session
rspack,bp-react,M4,1,131,ms,2026-09-15T07:12:03Z,1
rspack,bp-react,M4,2,123,ms,2026-09-15T07:12:03Z,1
rspack,bp-react,M4,3,120,ms,2026-09-15T07:12:03Z,1
rspack,bp-react,M4,4,120,ms,2026-09-15T07:12:03Z,1
rspack,bp-react,M4,5,127,ms,2026-09-15T07:12:03Z,2
rspack,bp-react,M4,6,109,ms,2026-09-15T07:12:03Z,2
rspack,bp-react,M4,7,126,ms,2026-09-15T07:12:03Z,2
rspack,bp-react,M4,8,126,ms,2026-09-15T07:12:03Z,2
rspack,bp-react,M4,9,116,ms,2026-09-15T07:12:03Z,3
rspack,bp-react,M4,10,117,ms,2026-09-15T07:12:03Z,3
rspack,bp-react,M4,11,124,ms,2026-09-15T07:12:03Z,3
rspack,bp-react,M4,12,99,ms,2026-09-15T07:12:03Z,3
rspack,bp-react,M4,13,119,ms,2026-09-15T07:12:03Z,4
rspack,bp-react,M4,14,165,ms,2026-09-15T07:12:03Z,4
rspack,bp-react,M4,15,129,ms,2026-09-15T07:12:03Z,4
rspack,bp-react,M4,16,103,ms,2026-09-15T07:12:03Z,4
rspack,bp-react,M4,17,130,ms,2026-09-15T07:12:03Z,5
rspack,bp-react,M4,18,165,ms,2026-09-15T07:12:03Z,5
rspack,bp-react,M4,19,122,ms,2026-09-15T07:12:03Z,5
rspack,bp-react,M4,20,104,ms,2026-09-15T07:12:03Z,5
