tier,metric,size,tool_1,tool_2,cliffs_delta,ci_95_low,ci_95_high,magnitude
tier1,M10,l-2000,esbuild,rollup,-1,-1,-1,large
tier1,M10,l-2000,esbuild,rspack,-1,-1,-1,large
tier1,M10,l-2000,esbuild,vite,-1,-1,-1,large
tier1,M10,l-2000,esbuild,webpack,-1,-1,-1,large
tier1,M10,l-2000,rollup,rspack,1,1,1,large
tier1,M10,l-2000,rollup,vite,1,1,1,large
tier1,M10,l-2000,rollup,webpack,-1,-1,-1,large
tier1,M10,l-2000,rspack,vite,1,1,1,large
tier1,M10,l-2000,rspack,webpack,-1,-1,-1,large
tier1,M10,l-2000,vite,webpack,-1,-1,-1,large
tier1,M11,l-2000,esbuild,rollup,-1,-1,-1,large
tier1,M11,l-2000,esbuild,rspack,-1,-1,-1,large
tier1,M11,l-2000,esbuild,vite,-1,-1,-1,large
tier1,M11,l-2000,esbuild,webpack,-1,-1,-1,large
tier1,M11,l-2000,rollup,rspack,1,1,1,large
tier1,M11,l-2000,rollup,vite,1,1,1,large
tier1,M11,l-2000,rollup,webpack,-1,-1,-1,large
tier1,M11,l-2000,rspack,vite,1,1,1,large
tier1,M11,l-2000,rspack,webpack,-1,-1,-1,large
tier1,M11,l-2000,vite,webpack,-1,-1,-1,large
tier1,M2,l-2000,esbuild,rollup,-1,-1,-1,large
tier1,M2,l-2000,esbuild,rspack,-0.96,-1,-0.82,large
tier1,M2,l-2000,esbuild,vite,-0.52,-0.96,-0.01975,large
tier1,M2,l-2000,esbuild,webpack,-1,-1,-1,large
tier1,M2,l-2000,rollup,rspack,1,1,1,large
tier1,M2,l-2000,rollup,vite,1,1,1,large
tier1,M2,l-2000,rollup,webpack,-1,-1,-1,large
tier1,M2,l-2000,rspack,vite,1,1,1,large
tier1,M2,l-2000,rspack,webpack,-1,-1,-1,large
tier1,M2,l-2000,vite,webpack,-1,-1,-1,large
tier1,M10,m-500,esbuild,rollup,-1,-1,-1,large
tier1,M10,m-500,esbuild,rspack,-1,-1,-1,large
tier1,M10,m-500,esbuild,vite,-1,-1,-1,large
tier1,M10,m-500,esbuild,webpack,-1,-1,-1,large
tier1,M10,m-500,rollup,rspack,1,1,1,large
tier1,M10,m-500,rollup,vite,1,1,1,large
tier1,M10,m-500,rollup,webpack,-1,-1,-1,large
tier1,M10,m-500,rspack,vite,-1,-1,-1,large
tier1,M10,m-500,rspack,webpack,-1,-1,-1,large
tier1,M10,m-500,vite,webpack,-1,-1,-1,large
tier1,M11,m-500,esbuild,rollup,-1,-1,-1,large
tier1,M11,m-500,esbuild,rspack,-1,-1,-1,large
tier1,M11,m-500,esbuild,vite,-0.8,-1,-0.4,large
tier1,M11,m-500,esbuild,webpack,-1,-1,-1,large
tier1,M11,m-500,rollup,rspack,1,1,1,large
tier1,M11,m-500,rollup,vite,1,1,1,large
tier1,M11,m-500,rollup,webpack,-1,-1,-1,large
tier1,M11,m-500,rspack,vite,1,1,1,large
tier1,M11,m-500,rspack,webpack,-1,-1,-1,large
tier1,M11,m-500,vite,webpack,-1,-1,-1,large
tier1,M2,m-500,esbuild,rollup,-1,-1,-1,large
tier1,M2,m-500,esbuild,rspack,-0.82,-1,-0.4,large
tier1,M2,m-500,esbuild,vite,-0.82,-1,-0.4,large
tier1,M2,m-500,esbuild,webpack,-1,-1,-1,large
tier1,M2,m-500,rollup,rspack,1,1,1,large
tier1,M2,m-500,rollup,vite,1,1,1,large
tier1,M2,m-500,rollup,webpack,-0.82,-1,-0.4,large
tier1,M2,m-500,rspack,vite,0.82,0.4,1,large
tier1,M2,m-500,rspack,webpack,-1,-1,-1,large
tier1,M2,m-500,vite,webpack,-1,-1,-1,large
tier1,M10,s-200,esbuild,rollup,-1,-1,-1,large
tier1,M10,s-200,esbuild,rspack,-1,-1,-1,large
tier1,M10,s-200,esbuild,vite,-1,-1,-1,large
tier1,M10,s-200,esbuild,webpack,-1,-1,-1,large
tier1,M10,s-200,rollup,rspack,1,1,1,large
tier1,M10,s-200,rollup,vite,1,1,1,large
tier1,M10,s-200,rollup,webpack,-1,-1,-1,large
tier1,M10,s-200,rspack,vite,-1,-1,-1,large
tier1,M10,s-200,rspack,webpack,-1,-1,-1,large
tier1,M10,s-200,vite,webpack,-1,-1,-1,large
tier1,M11,s-200,esbuild,rollup,-1,-1,-1,large
tier1,M11,s-200,esbuild,rspack,-1,-1,-1,large
tier1,M11,s-200,esbuild,vite,-1,-1,-1,large
tier1,M11,s-200,esbuild,webpack,-1,-1,-1,large
tier1,M11,s-200,rollup,rspack,1,1,1,large
tier1,M11,s-200,rollup,vite,1,1,1,large
tier1,M11,s-200,rollup,webpack,-1,-1,-1,large
tier1,M11,s-200,rspack,vite,0.97,0.86,1,large
tier1,M11,s-200,rspack,webpack,-1,-1,-1,large
tier1,M11,s-200,vite,webpack,-1,-1,-1,large
tier1,M2,s-200,esbuild,rollup,-1,-1,-1,large
tier1,M2,s-200,esbuild,rspack,-0.73,-1,-0.32,large
tier1,M2,s-200,esbuild,vite,-0.68,-1,-0.2,large
tier1,M2,s-200,esbuild,webpack,-1,-1,-1,large
tier1,M2,s-200,rollup,rspack,0.84,0.46,1,large
tier1,M2,s-200,rollup,vite,1,1,1,large
tier1,M2,s-200,rollup,webpack,-0.68,-1,-0.2,large
tier1,M2,s-200,rspack,vite,0.68,0.2,1,large
tier1,M2,s-200,rspack,webpack,-0.84,-1,-0.46,large
tier1,M2,s-200,vite,webpack,-1,-1,-1,large
tier1,M10,xl-5000,esbuild,rollup,-1,-1,-1,large
tier1,M10,xl-5000,esbuild,rspack,-1,-1,-1,large
tier1,M10,xl-5000,esbuild,vite,-1,-1,-1,large
tier1,M10,xl-5000,esbuild,webpack,-1,-1,-1,large
tier1,M10,xl-5000,rollup,rspack,1,1,1,large
tier1,M10,xl-5000,rollup,vite,1,1,1,large
tier1,M10,xl-5000,rollup,webpack,-1,-1,-1,large
tier1,M10,xl-5000,rspack,vite,1,1,1,large
tier1,M10,xl-5000,rspack,webpack,-1,-1,-1,large
tier1,M10,xl-5000,vite,webpack,-1,-1,-1,large
tier1,M11,xl-5000,esbuild,rollup,-1,-1,-1,large
tier1,M11,xl-5000,esbuild,rspack,-1,-1,-1,large
tier1,M11,xl-5000,esbuild,vite,-1,-1,-1,large
tier1,M11,xl-5000,esbuild,webpack,-1,-1,-1,large
tier1,M11,xl-5000,rollup,rspack,1,1,1,large
tier1,M11,xl-5000,rollup,vite,1,1,1,large
tier1,M11,xl-5000,rollup,webpack,-1,-1,-1,large
tier1,M11,xl-5000,rspack,vite,1,1,1,large
tier1,M11,xl-5000,rspack,webpack,-1,-1,-1,large
tier1,M11,xl-5000,vite,webpack,-1,-1,-1,large
tier1,M2,xl-5000,esbuild,rollup,-1,-1,-1,large
tier1,M2,xl-5000,esbuild,rspack,1,1,1,large
tier1,M2,xl-5000,esbuild,vite,0.9,0.64,1,large
tier1,M2,xl-5000,esbuild,webpack,-1,-1,-1,large
tier1,M2,xl-5000,rollup,rspack,1,1,1,large
tier1,M2,xl-5000,rollup,vite,1,1,1,large
tier1,M2,xl-5000,rollup,webpack,-0.8,-1,-0.46,large
tier1,M2,xl-5000,rspack,vite,0.74,0.3,1,large
tier1,M2,xl-5000,rspack,webpack,-1,-1,-1,large
tier1,M2,xl-5000,vite,webpack,-1,-1,-1,large
tier1,M10,xs-50,esbuild,rollup,-1,-1,-1,large
tier1,M10,xs-50,esbuild,rspack,-1,-1,-1,large
tier1,M10,xs-50,esbuild,vite,-1,-1,-1,large
tier1,M10,xs-50,esbuild,webpack,-1,-1,-1,large
tier1,M10,xs-50,rollup,rspack,1,1,1,large
tier1,M10,xs-50,rollup,vite,1,1,1,large
tier1,M10,xs-50,rollup,webpack,-0.54,-0.88,-0.04,large
tier1,M10,xs-50,rspack,vite,-1,-1,-1,large
tier1,M10,xs-50,rspack,webpack,-1,-1,-1,large
tier1,M10,xs-50,vite,webpack,-1,-1,-1,large
tier1,M11,xs-50,esbuild,rollup,-1,-1,-1,large
tier1,M11,xs-50,esbuild,rspack,-1,-1,-1,large
tier1,M11,xs-50,esbuild,vite,-1,-1,-1,large
tier1,M11,xs-50,esbuild,webpack,-1,-1,-1,large
tier1,M11,xs-50,rollup,rspack,1,1,1,large
tier1,M11,xs-50,rollup,vite,1,1,1,large
tier1,M11,xs-50,rollup,webpack,-0.98,-1,-0.88,large
tier1,M11,xs-50,rspack,vite,0.83,0.45,1,large
tier1,M11,xs-50,rspack,webpack,-1,-1,-1,large
tier1,M11,xs-50,vite,webpack,-1,-1,-1,large
tier1,M2,xs-50,esbuild,rollup,-0.83,-1,-0.43,large
tier1,M2,xs-50,esbuild,rspack,-0.66,-1,-0.2,large
tier1,M2,xs-50,esbuild,vite,-0.64,-1,-0.12,large
tier1,M2,xs-50,esbuild,webpack,-1,-1,-1,large
tier1,M2,xs-50,rollup,rspack,0.66,0.18,1,large
tier1,M2,xs-50,rollup,vite,0.86,0.52,1,large
tier1,M2,xs-50,rollup,webpack,-0.84,-1,-0.46,large
tier1,M2,xs-50,rspack,vite,0.54,0.04,0.94,large
tier1,M2,xs-50,rspack,webpack,-0.84,-1,-0.46,large
tier1,M2,xs-50,vite,webpack,-1,-1,-1,large
tier1,M1,m-500,rspack,vite,1,1,1,large
tier1,M1,m-500,rspack,webpack,-0.91,-1,-0.7,large
tier1,M1,m-500,vite,webpack,-1,-1,-1,large
tier1,M1,xl-5000,rspack,vite,1,1,1,large
tier1,M1,xl-5000,rspack,webpack,-1,-1,-1,large
tier1,M1,xl-5000,vite,webpack,-1,-1,-1,large
tier1,M1,xs-50,rspack,vite,1,1,1,large
tier1,M1,xs-50,rspack,webpack,-1,-1,-1,large
tier1,M1,xs-50,vite,webpack,-1,-1,-1,large
tier2,M10,bp-react,esbuild,rollup,-1,-1,-1,large
tier2,M10,bp-react,esbuild,rspack,-1,-1,-1,large
tier2,M10,bp-react,esbuild,vite,-1,-1,-1,large
tier2,M10,bp-react,esbuild,webpack,-1,-1,-1,large
tier2,M10,bp-react,rollup,rspack,1,1,1,large
tier2,M10,bp-react,rollup,vite,1,1,1,large
tier2,M10,bp-react,rollup,webpack,-1,-1,-1,large
tier2,M10,bp-react,rspack,vite,-1,-1,-1,large
tier2,M10,bp-react,rspack,webpack,-1,-1,-1,large
tier2,M10,bp-react,vite,webpack,-1,-1,-1,large
tier2,M11,bp-react,esbuild,rollup,-1,-1,-1,large
tier2,M11,bp-react,esbuild,rspack,-1,-1,-1,large
tier2,M11,bp-react,esbuild,vite,-1,-1,-1,large
tier2,M11,bp-react,esbuild,webpack,-1,-1,-1,large
tier2,M11,bp-react,rollup,rspack,1,1,1,large
tier2,M11,bp-react,rollup,vite,1,1,1,large
tier2,M11,bp-react,rollup,webpack,-1,-1,-1,large
tier2,M11,bp-react,rspack,vite,-1,-1,-1,large
tier2,M11,bp-react,rspack,webpack,-1,-1,-1,large
tier2,M11,bp-react,vite,webpack,-1,-1,-1,large
tier2,M2,bp-react,esbuild,rollup,-1,-1,-1,large
tier2,M2,bp-react,esbuild,rspack,-0.68,-1,-0.2,large
tier2,M2,bp-react,esbuild,vite,-0.68,-1,-0.2,large
tier2,M2,bp-react,esbuild,webpack,-1,-1,-1,large
tier2,M2,bp-react,rollup,rspack,0.66,0.18,1,large
tier2,M2,bp-react,rollup,vite,0.64,0.12,1,large
tier2,M2,bp-react,rollup,webpack,-0.68,-1,-0.2,large
tier2,M2,bp-react,rspack,vite,-0.18,-0.68,0.36,small
tier2,M2,bp-react,rspack,webpack,-0.68,-1,-0.2,large
tier2,M2,bp-react,vite,webpack,-0.68,-1,-0.2,large
tier1,M3,l-2000,esbuild,rollup,-1,-1,-1,large
tier1,M3,l-2000,esbuild,rspack,1,1,1,large
tier1,M3,l-2000,esbuild,vite,-1,-1,-1,large
tier1,M3,l-2000,esbuild,webpack,1,1,1,large
tier1,M3,l-2000,rollup,rspack,1,1,1,large
tier1,M3,l-2000,rollup,vite,1,1,1,large
tier1,M3,l-2000,rollup,webpack,1,1,1,large
tier1,M3,l-2000,rspack,vite,-1,-1,-1,large
tier1,M3,l-2000,rspack,webpack,-1,-1,-1,large
tier1,M3,l-2000,vite,webpack,1,1,1,large
