tier,metric,size,tool,unit_of_analysis,n,mean,median,std,iqr,min,max
tier1,M10,l-2000,esbuild,independent_build,10,177.733,178.36,3.686992,5.2425,171.44,182.14
tier1,M11,l-2000,esbuild,independent_build,10,3.505,3.485,0.145239,0.1925,3.31,3.8
tier1,M2,l-2000,esbuild,independent_build,10,3057,2705,914.549677,82.5,2580,5470
tier1,M5,l-2000,esbuild,five_build_aggregate,1,32751306,32751306,0,0,32751306,32751306
tier1,M6,l-2000,esbuild,five_build_aggregate,1,862335,862335,0,0,862335,862335
tier1,M8,l-2000,esbuild,five_build_aggregate,1,50,50,0,0,50,50
tier1,M9,l-2000,esbuild,sourcemap_probe,1,100,100,0,0,100,100
tier1,M10,m-500,esbuild,independent_build,10,141.973,124.305,59.239335,3.0775,117.47,310.34
tier1,M11,m-500,esbuild,independent_build,10,1.342,1.19,0.544341,0.075,1.03,2.88
tier1,M2,m-500,esbuild,independent_build,10,1111,860,677.256721,85,820,3020
tier1,M5,m-500,esbuild,five_build_aggregate,1,6531439,6531439,0,0,6531439,6531439
tier1,M6,m-500,esbuild,five_build_aggregate,1,404388,404388,0,0,404388,404388
tier1,M8,m-500,esbuild,five_build_aggregate,1,31,31,0,0,31,31
tier1,M9,m-500,esbuild,sourcemap_probe,1,100,100,0,0,100,100
tier1,M10,s-200,esbuild,independent_build,10,136.668,138.755,13.787114,5.3325,99.61,149.03
tier1,M11,s-200,esbuild,independent_build,10,1.255,1.32,0.240474,0.0425,0.58,1.43
tier1,M2,s-200,esbuild,independent_build,10,658,465,385.394459,177.5,430,1450
tier1,M5,s-200,esbuild,five_build_aggregate,1,1298868,1298868,0,0,1298868,1298868
tier1,M6,s-200,esbuild,five_build_aggregate,1,151133,151133,0,0,151133,151133
tier1,M8,s-200,esbuild,five_build_aggregate,1,10,10,0,0,10,10
tier1,M9,s-200,esbuild,sourcemap_probe,1,100,100,0,0,100,100
tier1,M7,tree-shake,esbuild,fixture_aggregate,1,89.67,89.67,0,0,89.67,89.67
tier1,M10,xl-5000,esbuild,independent_build,10,269.081,272.54,16.04238,9.47,241.09,290.88
tier1,M11,xl-5000,esbuild,independent_build,10,9.109,9.16,0.195019,0.22,8.76,9.38
tier1,M2,xl-5000,esbuild,independent_build,10,18599,17790,1822.260196,885,17030,22170
tier1,M5,xl-5000,esbuild,five_build_aggregate,1,167317981,167317981,0,0,167317981,167317981
tier1,M6,xl-5000,esbuild,five_build_aggregate,1,1861037,1861037,0,0,1861037,1861037
tier1,M8,xl-5000,esbuild,five_build_aggregate,1,119,119,0,0,119,119
tier1,M9,xl-5000,esbuild,sourcemap_probe,1,100,100,0,0,100,100
tier1,M10,xs-50,esbuild,independent_build,10,100.488,100.88,4.075152,2.9775,91.16,106.83
tier1,M11,xs-50,esbuild,independent_build,10,0.816,0.8,0.047422,0.05,0.77,0.92
tier1,M2,xs-50,esbuild,independent_build,10,654,320,860.57087,25,300,3030
tier1,M5,xs-50,esbuild,five_build_aggregate,1,370950,370950,0,0,370950,370950
tier1,M6,xs-50,esbuild,five_build_aggregate,1,90371,90371,0,0,90371,90371
tier1,M8,xs-50,esbuild,five_build_aggregate,1,1,1,0,0,1,1
tier1,M9,xs-50,esbuild,sourcemap_probe,1,100,100,0,0,100,100
tier1,M10,l-2000,rollup,independent_build,10,2131.228,2085.805,102.81959,57.4725,2061.72,2336.63
tier1,M11,l-2000,rollup,independent_build,10,42.833,43.17,1.113284,1.5375,40.95,44.18
