tier,metric,size,tool_1,tool_2,z,p_raw,p_bonferroni,significant
tier1,M10,l-2000,esbuild,rollup,-4.60179,0.000004188756,0.000041887556,Yes
tier1,M10,l-2000,esbuild,rspack,-3.06786,0.002155976304,0.021559763036,Yes
tier1,M10,l-2000,esbuild,vite,-1.53393,0.125046880131,1,No
tier1,M10,l-2000,esbuild,webpack,-6.13572,8.477441e-10,8.477441e-9,Yes
tier1,M10,l-2000,rollup,rspack,1.53393,0.125046880131,1,No
tier1,M10,l-2000,rollup,vite,3.06786,0.002155976304,0.021559763036,Yes
tier1,M10,l-2000,rollup,webpack,-1.53393,0.125046880131,1,No
tier1,M10,l-2000,rspack,vite,1.53393,0.125046880131,1,No
tier1,M10,l-2000,rspack,webpack,-3.06786,0.002155976304,0.021559763036,Yes
tier1,M10,l-2000,vite,webpack,-4.60179,0.000004188756,0.000041887556,Yes
tier1,M11,l-2000,esbuild,rollup,-4.602342,0.000004177655,0.000041776552,Yes
tier1,M11,l-2000,esbuild,rspack,-3.068228,0.002153320324,0.021533203243,Yes
tier1,M11,l-2000,esbuild,vite,-1.534114,0.125001571309,1,No
tier1,M11,l-2000,esbuild,webpack,-6.136457,8.438239e-10,8.438239e-9,Yes
tier1,M11,l-2000,rollup,rspack,1.534114,0.125001571309,1,No
tier1,M11,l-2000,rollup,vite,3.068228,0.002153320324,0.021533203243,Yes
tier1,M11,l-2000,rollup,webpack,-1.534114,0.125001571309,1,No
tier1,M11,l-2000,rspack,vite,1.534114,0.125001571309,1,No
tier1,M11,l-2000,rspack,webpack,-3.068228,0.002153320324,0.021533203243,Yes
tier1,M11,l-2000,vite,webpack,-4.602342,0.000004177655,0.000041776552,Yes
tier1,M2,l-2000,esbuild,rollup,-4.203776,0.000026249911,0.000262499112,Yes
tier1,M2,l-2000,esbuild,rspack,-2.638866,0.008318373719,0.083183737191,No
tier1,M2,l-2000,esbuild,vite,-0.767112,0.443014721217,1,No
tier1,M2,l-2000,esbuild,webpack,-5.738,9.580091e-9,9.580091e-8,Yes
tier1,M2,l-2000,rollup,rspack,1.564909,0.117604203804,1,No
tier1,M2,l-2000,rollup,vite,3.436663,0.000588927179,0.00588927179,Yes
tier1,M2,l-2000,rollup,webpack,-1.534225,0.124974384327,1,No
tier1,M2,l-2000,rspack,vite,1.871754,0.06124062724,0.6124062724,No
tier1,M2,l-2000,rspack,webpack,-3.099134,0.001940872918,0.019408729184,Yes
tier1,M2,l-2000,vite,webpack,-4.970888,6.664694e-7,0.000006664694,Yes
tier1,M10,m-500,esbuild,rollup,-4.60179,0.000004188756,0.000041887556,Yes
tier1,M10,m-500,esbuild,rspack,-1.53393,0.125046880131,1,No
tier1,M10,m-500,esbuild,vite,-3.06786,0.002155976304,0.021559763036,Yes
tier1,M10,m-500,esbuild,webpack,-6.13572,8.477441e-10,8.477441e-9,Yes
tier1,M10,m-500,rollup,rspack,3.06786,0.002155976304,0.021559763036,Yes
tier1,M10,m-500,rollup,vite,1.53393,0.125046880131,1,No
tier1,M10,m-500,rollup,webpack,-1.53393,0.125046880131,1,No
tier1,M10,m-500,rspack,vite,-1.53393,0.125046880131,1,No
tier1,M10,m-500,rspack,webpack,-4.60179,0.000004188756,0.000041887556,Yes
tier1,M10,m-500,vite,webpack,-3.06786,0.002155976304,0.021559763036,Yes
tier1,M11,m-500,esbuild,rollup,-4.449145,0.00000862129,0.000086212899,Yes
tier1,M11,m-500,esbuild,rspack,-2.914957,0.003557376582,0.035573765825,Yes
tier1,M11,m-500,esbuild,vite,-1.22735,0.21969096643,1,No
tier1,M11,m-500,esbuild,webpack,-5.983333,2.186177e-9,2.186177e-8,Yes
tier1,M11,m-500,rollup,rspack,1.534188,0.124983446795,1,No
tier1,M11,m-500,rollup,vite,3.221794,0.001273904786,0.012739047865,Yes
tier1,M11,m-500,rollup,webpack,-1.534188,0.124983446795,1,No
tier1,M11,m-500,rspack,vite,1.687607,0.091486765562,0.914867655623,No
tier1,M11,m-500,rspack,webpack,-3.068376,0.002152258505,0.021522585052,Yes
tier1,M11,m-500,vite,webpack,-4.755982,0.000001974838,0.000019748375,Yes
tier1,M2,m-500,esbuild,rollup,-4.465023,0.00000800602,0.000080060203,Yes
tier1,M2,m-500,esbuild,rspack,-2.51637,0.011857054161,0.11857054161,No
tier1,M2,m-500,esbuild,vite,-1.258185,0.208324809177,1,No
tier1,M2,m-500,esbuild,webpack,-5.723208,1.045312e-8,1.045312e-7,Yes
tier1,M2,m-500,rollup,rspack,1.948653,0.051336927274,0.513369272737,No
tier1,M2,m-500,rollup,vite,3.206838,0.001342026751,0.013420267515,Yes
tier1,M2,m-500,rollup,webpack,-1.258185,0.208324809177,1,No
tier1,M2,m-500,rspack,vite,1.258185,0.208324809177,1,No
tier1,M2,m-500,rspack,webpack,-3.206838,0.001342026751,0.013420267515,Yes
tier1,M2,m-500,vite,webpack,-4.465023,0.00000800602,0.000080060203,Yes
tier1,M10,s-200,esbuild,rollup,-4.6019,0.000004186534,0.000041865336,Yes
tier1,M10,s-200,esbuild,rspack,-1.533967,0.125037818648,1,No
tier1,M10,s-200,esbuild,vite,-3.067934,0.002155444944,0.021554449442,Yes
tier1,M10,s-200,esbuild,webpack,-6.135867,8.469587e-10,8.469587e-9,Yes
tier1,M10,s-200,rollup,rspack,3.067934,0.002155444944,0.021554449442,Yes
tier1,M10,s-200,rollup,vite,1.533967,0.125037818648,1,No
tier1,M10,s-200,rollup,webpack,-1.533967,0.125037818648,1,No
tier1,M10,s-200,rspack,vite,-1.533967,0.125037818648,1,No
tier1,M10,s-200,rspack,webpack,-4.6019,0.000004186534,0.000041865336,Yes
tier1,M10,s-200,vite,webpack,-3.067934,0.002155444944,0.021554449442,Yes
tier1,M11,s-200,esbuild,rollup,-4.603116,0.000004162155,0.000041621554,Yes
tier1,M11,s-200,esbuild,rspack,-3.045729,0.002321172113,0.023211721131,Yes
tier1,M11,s-200,esbuild,vite,-1.557388,0.119378464856,1,No
tier1,M11,s-200,esbuild,webpack,-6.137488,8.383632e-10,8.383632e-9,Yes
tier1,M11,s-200,rollup,rspack,1.557388,0.119378464856,1,No
tier1,M11,s-200,rollup,vite,3.045729,0.002321172113,0.023211721131,Yes
tier1,M11,s-200,rollup,webpack,-1.534372,0.124938133049,1,No
tier1,M11,s-200,rspack,vite,1.488341,0.136660999724,1,No
tier1,M11,s-200,rspack,webpack,-3.09176,0.001989737714,0.019897377138,Yes
tier1,M11,s-200,vite,webpack,-4.580101,0.00000464752,0.000046475195,Yes
tier1,M2,s-200,esbuild,rollup,-4.273124,0.000019275346,0.000192753458,Yes
tier1,M2,s-200,esbuild,rspack,-2.408906,0.016000402932,0.160004029317,No
tier1,M2,s-200,esbuild,vite,-1.081706,0.279383027662,1,No
tier1,M2,s-200,esbuild,webpack,-5.316472,1.057987e-7,0.000001057987,Yes
tier1,M2,s-200,rollup,rspack,1.864217,0.062291189502,0.622911895017,No
tier1,M2,s-200,rollup,vite,3.191417,0.001415766172,0.014157661723,Yes
tier1,M2,s-200,rollup,webpack,-1.043348,0.296787159099,1,No
tier1,M2,s-200,rspack,vite,1.3272,0.184442533063,1,No
tier1,M2,s-200,rspack,webpack,-2.907565,0.003642542704,0.036425427039,Yes
tier1,M2,s-200,vite,webpack,-4.234765,0.000022879052,0.000228790522,Yes
tier1,M10,xl-5000,esbuild,rollup,-4.60179,0.000004188756,0.000041887556,Yes
tier1,M10,xl-5000,esbuild,rspack,-3.06786,0.002155976304,0.021559763036,Yes
tier1,M10,xl-5000,esbuild,vite,-1.53393,0.125046880131,1,No
tier1,M10,xl-5000,esbuild,webpack,-6.13572,8.477441e-10,8.477441e-9,Yes
tier1,M10,xl-5000,rollup,rspack,1.53393,0.125046880131,1,No
tier1,M10,xl-5000,rollup,vite,3.06786,0.002155976304,0.021559763036,Yes
tier1,M10,xl-5000,rollup,webpack,-1.53393,0.125046880131,1,No
tier1,M10,xl-5000,rspack,vite,1.53393,0.125046880131,1,No
tier1,M10,xl-5000,rspack,webpack,-3.06786,0.002155976304,0.021559763036,Yes
tier1,M10,xl-5000,vite,webpack,-4.60179,0.000004188756,0.000041887556,Yes
tier1,M11,xl-5000,esbuild,rollup,-4.60179,0.000004188756,0.000041887556,Yes
tier1,M11,xl-5000,esbuild,rspack,-3.06786,0.002155976304,0.021559763036,Yes
