tier,metric,size,groups,total_n,H,df,tie_correction,p_value,significant
tier1,M10,l-2000,5,50,47.058824,4,1,1.482496e-9,Yes
tier1,M11,l-2000,5,50,47.070125,4,0.99976,1.474482e-9,Yes
tier1,M2,l-2000,5,50,45.031887,4,0.999616,3.915726e-9,Yes
tier1,M10,m-500,5,50,47.058824,4,1,1.482496e-9,Yes
tier1,M11,m-500,5,50,46.227303,4,0.999664,2.208674e-9,Yes
tier1,M2,m-500,5,50,43.229616,4,0.999424,9.272590e-9,Yes
tier1,M10,s-200,5,50,47.061083,4,0.999952,1.480890e-9,Yes
tier1,M11,s-200,5,50,46.946817,4,0.999424,1.564310e-9,Yes
tier1,M2,s-200,5,50,38.558014,4,0.999472,8.595682e-8,Yes
tier1,M10,xl-5000,5,50,47.058824,4,1,1.482496e-9,Yes
tier1,M11,xl-5000,5,50,47.058824,4,1,1.482496e-9,Yes
tier1,M2,xl-5000,5,50,44.29295,4,0.999952,5.576900e-9,Yes
tier1,M10,xs-50,5,50,45.39418,4,0.999952,3.292108e-9,Yes
tier1,M11,xs-50,5,50,46.262526,4,0.999376,2.171701e-9,Yes
tier1,M2,xs-50,5,50,33.968884,4,0.997695,7.562190e-7,Yes
tier1,M1,m-500,3,60,50.20738,2,0.999944,1.252005e-11,Yes
tier1,M1,xl-5000,3,60,52.47068,2,0.999778,4.037724e-12,Yes
tier1,M1,xs-50,3,60,52.47068,2,0.999778,4.037724e-12,Yes
tier2,M10,bp-react,5,50,47.058824,4,1,1.482496e-9,Yes
tier2,M11,bp-react,5,50,47.448436,4,0.991789,1.229775e-9,Yes
tier2,M2,bp-react,5,50,28.338632,4,0.999376,0.000010649037,Yes
tier1,M3,l-2000,5,25,23.076923,4,1,0.00012222332,Yes
tier1,M3,m-500,5,25,23.076923,4,1,0.00012222332,Yes
tier1,M3,s-200,5,25,23.085802,4,0.999615,0.000121724988,Yes
tier1,M3,xl-5000,5,25,23.076923,4,1,0.00012222332,Yes
tier1,M3,xs-50,5,25,22.59823,4,0.999615,0.000152310748,Yes
tier1,M4,m-500,3,15,10.518784,2,0.998214,0.005198465615,Yes
tier1,M4,xl-5000,3,15,12.5,2,1,0.001930454136,Yes
tier1,M4,xs-50,3,15,12.544803,2,0.996429,0.001887689974,Yes
tier2,M4,bp-react,3,15,10.518784,2,0.998214,0.005198465615,Yes
