tool,size,metric,run,value,unit,timestamp
esbuild,l-2000,M11,1,3.8,seconds,2026-09-15T08:34:47Z
esbuild,l-2000,M11,2,3.39,seconds,2026-09-15T08:34:47Z
esbuild,l-2000,M11,3,3.49,seconds,2026-09-15T08:34:47Z
esbuild,l-2000,M11,4,3.41,seconds,2026-09-15T08:34:47Z
esbuild,l-2000,M11,5,3.58,seconds,2026-09-15T08:34:47Z
esbuild,l-2000,M11,6,3.31,seconds,2026-09-15T08:34:47Z
esbuild,l-2000,M11,7,3.38,seconds,2026-09-15T08:34:47Z
esbuild,l-2000,M11,8,3.62,seconds,2026-09-15T08:34:47Z
esbuild,l-2000,M11,9,3.48,seconds,2026-09-15T08:34:47Z
esbuild,l-2000,M11,10,3.59,seconds,2026-09-15T08:34:47Z
