tool,size,metric,run,value,unit,timestamp,session
esbuild,l-2000,M3,1,175,ms,2026-09-15T03:53:31Z,1
esbuild,l-2000,M3,2,2199,ms,2026-09-15T03:53:31Z,1
esbuild,l-2000,M3,3,2514,ms,2026-09-15T03:53:31Z,1
esbuild,l-2000,M3,4,2238,ms,2026-09-15T03:53:31Z,1
esbuild,l-2000,M3,5,464,ms,2026-09-15T03:53:31Z,2
esbuild,l-2000,M3,6,2320,ms,2026-09-15T03:53:31Z,2
esbuild,l-2000,M3,7,2171,ms,2026-09-15T03:53:31Z,2
esbuild,l-2000,M3,8,2281,ms,2026-09-15T03:53:31Z,2
esbuild,l-2000,M3,9,338,ms,2026-09-15T03:53:31Z,3
esbuild,l-2000,M3,10,2223,ms,2026-09-15T03:53:31Z,3
esbuild,l-2000,M3,11,2277,ms,2026-09-15T03:53:31Z,3
esbuild,l-2000,M3,12,2199,ms,2026-09-15T03:53:31Z,3
esbuild,l-2000,M3,13,478,ms,2026-09-15T03:53:31Z,4
esbuild,l-2000,M3,14,2158,ms,2026-09-15T03:53:31Z,4
esbuild,l-2000,M3,15,2127,ms,2026-09-15T03:53:31Z,4
esbuild,l-2000,M3,16,2178,ms,2026-09-15T03:53:31Z,4
esbuild,l-2000,M3,17,413,ms,2026-09-15T03:53:31Z,5
esbuild,l-2000,M3,18,2213,ms,2026-09-15T03:53:31Z,5
esbuild,l-2000,M3,19,2054,ms,2026-09-15T03:53:31Z,5
esbuild,l-2000,M3,20,2195,ms,2026-09-15T03:53:31Z,5
