tool,size,metric,run,value,unit,timestamp
esbuild,s-200,M11,1,1.33,seconds,2026-09-15T08:34:47Z
esbuild,s-200,M11,2,1.31,seconds,2026-09-15T08:34:47Z
esbuild,s-200,M11,3,0.58,seconds,2026-09-15T08:34:47Z
esbuild,s-200,M11,4,1.29,seconds,2026-09-15T08:34:47Z
esbuild,s-200,M11,5,1.33,seconds,2026-09-15T08:34:47Z
esbuild,s-200,M11,6,1.29,seconds,2026-09-15T08:34:47Z
esbuild,s-200,M11,7,1.43,seconds,2026-09-15T08:34:47Z
esbuild,s-200,M11,8,1.34,seconds,2026-09-15T08:34:47Z
esbuild,s-200,M11,9,1.31,seconds,2026-09-15T08:34:47Z
esbuild,s-200,M11,10,1.34,seconds,2026-09-15T08:34:47Z
