tool,size,metric,run,value,unit,timestamp,session
esbuild,s-200,M3,1,1977,ms,2026-09-15T03:53:31Z,1
esbuild,s-200,M3,2,287,ms,2026-09-15T03:53:31Z,1
esbuild,s-200,M3,3,296,ms,2026-09-15T03:53:31Z,1
esbuild,s-200,M3,4,285,ms,2026-09-15T03:53:31Z,1
esbuild,s-200,M3,5,1996,ms,2026-09-15T03:53:31Z,2
esbuild,s-200,M3,6,296,ms,2026-09-15T03:53:31Z,2
esbuild,s-200,M3,7,303,ms,2026-09-15T03:53:31Z,2
esbuild,s-200,M3,8,308,ms,2026-09-15T03:53:31Z,2
esbuild,s-200,M3,9,472,ms,2026-09-15T03:53:31Z,3
esbuild,s-200,M3,10,280,ms,2026-09-15T03:53:31Z,3
esbuild,s-200,M3,11,353,ms,2026-09-15T03:53:31Z,3
esbuild,s-200,M3,12,290,ms,2026-09-15T03:53:31Z,3
esbuild,s-200,M3,13,766,ms,2026-09-15T03:53:31Z,4
esbuild,s-200,M3,14,267,ms,2026-09-15T03:53:31Z,4
esbuild,s-200,M3,15,276,ms,2026-09-15T03:53:31Z,4
esbuild,s-200,M3,16,283,ms,2026-09-15T03:53:31Z,4
esbuild,s-200,M3,17,1425,ms,2026-09-15T03:53:31Z,5
esbuild,s-200,M3,18,280,ms,2026-09-15T03:53:31Z,5
esbuild,s-200,M3,19,374,ms,2026-09-15T03:53:31Z,5
esbuild,s-200,M3,20,281,ms,2026-09-15T03:53:31Z,5
