tool,size,metric,run,value,unit,timestamp
esbuild,xl-5000,M10,1,243.45,MiB,2026-09-15T08:34:47Z
esbuild,xl-5000,M10,2,273.31,MiB,2026-09-15T08:34:47Z
esbuild,xl-5000,M10,3,271.77,MiB,2026-09-15T08:34:47Z
esbuild,xl-5000,M10,4,285.67,MiB,2026-09-15T08:34:47Z
esbuild,xl-5000,M10,5,241.09,MiB,2026-09-15T08:34:47Z
esbuild,xl-5000,M10,6,274.81,MiB,2026-09-15T08:34:47Z
esbuild,xl-5000,M10,7,263.83,MiB,2026-09-15T08:34:47Z
esbuild,xl-5000,M10,8,275.14,MiB,2026-09-15T08:34:47Z
esbuild,xl-5000,M10,9,290.88,MiB,2026-09-15T08:34:47Z
esbuild,xl-5000,M10,10,270.86,MiB,2026-09-15T08:34:47Z
