tool,size,metric,run,value,unit,timestamp
esbuild,xs-50,M10,1,91.16,MiB,2026-09-15T08:34:47Z
esbuild,xs-50,M10,2,103.42,MiB,2026-09-15T08:34:47Z
esbuild,xs-50,M10,3,99.11,MiB,2026-09-15T08:34:47Z
esbuild,xs-50,M10,4,101.06,MiB,2026-09-15T08:34:47Z
esbuild,xs-50,M10,5,98.14,MiB,2026-09-15T08:34:47Z
esbuild,xs-50,M10,6,101.47,MiB,2026-09-15T08:34:47Z
esbuild,xs-50,M10,7,100.3,MiB,2026-09-15T08:34:47Z
esbuild,xs-50,M10,8,102.69,MiB,2026-09-15T08:34:47Z
esbuild,xs-50,M10,9,106.83,MiB,2026-09-15T08:34:47Z
esbuild,xs-50,M10,10,100.7,MiB,2026-09-15T08:34:47Z
