tool,size,metric,run,value,unit,timestamp,session
esbuild,xs-50,M3,1,1653,ms,2026-09-15T03:53:31Z,1
esbuild,xs-50,M3,2,167,ms,2026-09-15T03:53:31Z,1
esbuild,xs-50,M3,3,147,ms,2026-09-15T03:53:31Z,1
esbuild,xs-50,M3,4,294,ms,2026-09-15T03:53:31Z,1
esbuild,xs-50,M3,5,130,ms,2026-09-15T03:53:31Z,2
esbuild,xs-50,M3,6,151,ms,2026-09-15T03:53:31Z,2
esbuild,xs-50,M3,7,156,ms,2026-09-15T03:53:31Z,2
esbuild,xs-50,M3,8,139,ms,2026-09-15T03:53:31Z,2
esbuild,xs-50,M3,9,1157,ms,2026-09-15T03:53:31Z,3
esbuild,xs-50,M3,10,162,ms,2026-09-15T03:53:31Z,3
esbuild,xs-50,M3,11,163,ms,2026-09-15T03:53:31Z,3
esbuild,xs-50,M3,12,163,ms,2026-09-15T03:53:31Z,3
esbuild,xs-50,M3,13,744,ms,2026-09-15T03:53:31Z,4
esbuild,xs-50,M3,14,153,ms,2026-09-15T03:53:31Z,4
esbuild,xs-50,M3,15,143,ms,2026-09-15T03:53:31Z,4
esbuild,xs-50,M3,16,142,ms,2026-09-15T03:53:31Z,4
esbuild,xs-50,M3,17,544,ms,2026-09-15T03:53:31Z,5
esbuild,xs-50,M3,18,140,ms,2026-09-15T03:53:31Z,5
esbuild,xs-50,M3,19,148,ms,2026-09-15T03:53:31Z,5
esbuild,xs-50,M3,20,151,ms,2026-09-15T03:53:31Z,5
