tool,size,metric,run,value,unit,timestamp
rollup,m-500,M11,1,17.21,seconds,2026-09-15T08:34:47Z
rollup,m-500,M11,2,17.44,seconds,2026-09-15T08:34:47Z
rollup,m-500,M11,3,17.05,seconds,2026-09-15T08:34:47Z
rollup,m-500,M11,4,17.58,seconds,2026-09-15T08:34:47Z
rollup,m-500,M11,5,16.84,seconds,2026-09-15T08:34:47Z
rollup,m-500,M11,6,17.35,seconds,2026-09-15T08:34:47Z
rollup,m-500,M11,7,17.2,seconds,2026-09-15T08:34:47Z
rollup,m-500,M11,8,17.39,seconds,2026-09-15T08:34:47Z
rollup,m-500,M11,9,16.99,seconds,2026-09-15T08:34:47Z
rollup,m-500,M11,10,17.33,seconds,2026-09-15T08:34:47Z
