tool,size,metric,run,value,unit,timestamp,session
rollup,m-500,M3,1,3121,ms,2026-09-15T03:53:31Z,1
rollup,m-500,M3,2,3449,ms,2026-09-15T03:53:31Z,1
rollup,m-500,M3,3,3202,ms,2026-09-15T03:53:31Z,1
rollup,m-500,M3,4,3255,ms,2026-09-15T03:53:31Z,1
rollup,m-500,M3,5,2918,ms,2026-09-15T03:53:31Z,2
rollup,m-500,M3,6,2743,ms,2026-09-15T03:53:31Z,2
rollup,m-500,M3,7,2743,ms,2026-09-15T03:53:31Z,2
rollup,m-500,M3,8,2753,ms,2026-09-15T03:53:31Z,2
rollup,m-500,M3,9,2718,ms,2026-09-15T03:53:31Z,3
rollup,m-500,M3,10,2697,ms,2026-09-15T03:53:31Z,3
rollup,m-500,M3,11,2854,ms,2026-09-15T03:53:31Z,3
rollup,m-500,M3,12,2790,ms,2026-09-15T03:53:31Z,3
rollup,m-500,M3,13,3172,ms,2026-09-15T03:53:31Z,4
rollup,m-500,M3,14,2988,ms,2026-09-15T03:53:31Z,4
rollup,m-500,M3,15,3258,ms,2026-09-15T03:53:31Z,4
rollup,m-500,M3,16,2821,ms,2026-09-15T03:53:31Z,4
rollup,m-500,M3,17,3137,ms,2026-09-15T03:53:31Z,5
rollup,m-500,M3,18,3138,ms,2026-09-15T03:53:31Z,5
rollup,m-500,M3,19,3184,ms,2026-09-15T03:53:31Z,5
rollup,m-500,M3,20,3178,ms,2026-09-15T03:53:31Z,5
