tool,size,metric,run,value,unit,timestamp
rollup,s-200,M10,1,592.64,MiB,2026-09-15T08:34:47Z
rollup,s-200,M10,2,586.69,MiB,2026-09-15T08:34:47Z
rollup,s-200,M10,3,604.72,MiB,2026-09-15T08:34:47Z
rollup,s-200,M10,4,588.19,MiB,2026-09-15T08:34:47Z
rollup,s-200,M10,5,601.44,MiB,2026-09-15T08:34:47Z
rollup,s-200,M10,6,595.89,MiB,2026-09-15T08:34:47Z
rollup,s-200,M10,7,602.67,MiB,2026-09-15T08:34:47Z
rollup,s-200,M10,8,581.61,MiB,2026-09-15T08:34:47Z
rollup,s-200,M10,9,588.5,MiB,2026-09-15T08:34:47Z
rollup,s-200,M10,10,513.22,MiB,2026-09-15T08:34:47Z
