tool,size,metric,run,value,unit,timestamp,session
rollup,s-200,M3,1,1455,ms,2026-09-15T03:53:31Z,1
rollup,s-200,M3,2,1243,ms,2026-09-15T03:53:31Z,1
rollup,s-200,M3,3,1509,ms,2026-09-15T03:53:31Z,1
rollup,s-200,M3,4,1360,ms,2026-09-15T03:53:31Z,1
rollup,s-200,M3,5,1432,ms,2026-09-15T03:53:31Z,2
rollup,s-200,M3,6,1296,ms,2026-09-15T03:53:31Z,2
rollup,s-200,M3,7,1261,ms,2026-09-15T03:53:31Z,2
rollup,s-200,M3,8,1411,ms,2026-09-15T03:53:31Z,2
rollup,s-200,M3,9,1788,ms,2026-09-15T03:53:31Z,3
rollup,s-200,M3,10,1538,ms,2026-09-15T03:53:31Z,3
rollup,s-200,M3,11,1422,ms,2026-09-15T03:53:31Z,3
rollup,s-200,M3,12,1393,ms,2026-09-15T03:53:31Z,3
rollup,s-200,M3,13,1300,ms,2026-09-15T03:53:31Z,4
rollup,s-200,M3,14,1446,ms,2026-09-15T03:53:31Z,4
rollup,s-200,M3,15,1347,ms,2026-09-15T03:53:31Z,4
rollup,s-200,M3,16,1446,ms,2026-09-15T03:53:31Z,4
rollup,s-200,M3,17,1514,ms,2026-09-15T03:53:31Z,5
rollup,s-200,M3,18,1312,ms,2026-09-15T03:53:31Z,5
rollup,s-200,M3,19,1687,ms,2026-09-15T03:53:31Z,5
rollup,s-200,M3,20,1668,ms,2026-09-15T03:53:31Z,5
