tool,size,metric,run,value,unit,timestamp
rollup,xl-5000,M10,1,3337.7,MiB,2026-09-15T08:34:47Z
rollup,xl-5000,M10,2,3527.94,MiB,2026-09-15T08:34:47Z
rollup,xl-5000,M10,3,3590.39,MiB,2026-09-15T08:34:47Z
rollup,xl-5000,M10,4,3592.81,MiB,2026-09-15T08:34:47Z
rollup,xl-5000,M10,5,3562.33,MiB,2026-09-15T08:34:47Z
rollup,xl-5000,M10,6,3249.89,MiB,2026-09-15T08:34:47Z
rollup,xl-5000,M10,7,3550.63,MiB,2026-09-15T08:34:47Z
rollup,xl-5000,M10,8,3483.3,MiB,2026-09-15T08:34:47Z
rollup,xl-5000,M10,9,3582.3,MiB,2026-09-15T08:34:47Z
rollup,xl-5000,M10,10,3483.48,MiB,2026-09-15T08:34:47Z
