tool,size,metric,run,value,unit,timestamp,session
rollup,xl-5000,M3,1,30487,ms,2026-09-15T03:53:31Z,1
rollup,xl-5000,M3,2,15104,ms,2026-09-15T03:53:31Z,1
rollup,xl-5000,M3,3,15468,ms,2026-09-15T03:53:31Z,1
rollup,xl-5000,M3,4,17118,ms,2026-09-15T03:53:31Z,1
rollup,xl-5000,M3,5,13916,ms,2026-09-15T03:53:31Z,2
rollup,xl-5000,M3,6,29680,ms,2026-09-15T03:53:31Z,2
rollup,xl-5000,M3,7,15451,ms,2026-09-15T03:53:31Z,2
rollup,xl-5000,M3,8,15994,ms,2026-09-15T03:53:31Z,2
rollup,xl-5000,M3,9,14194,ms,2026-09-15T03:53:31Z,3
rollup,xl-5000,M3,10,14881,ms,2026-09-15T03:53:31Z,3
rollup,xl-5000,M3,11,15627,ms,2026-09-15T03:53:31Z,3
rollup,xl-5000,M3,12,16127,ms,2026-09-15T03:53:31Z,3
rollup,xl-5000,M3,13,15165,ms,2026-09-15T06:03:55Z,4
rollup,xl-5000,M3,14,12784,ms,2026-09-15T06:03:55Z,4
rollup,xl-5000,M3,15,13639,ms,2026-09-15T06:03:55Z,4
rollup,xl-5000,M3,16,14206,ms,2026-09-15T06:03:55Z,4
rollup,xl-5000,M3,17,12258,ms,2026-09-15T06:03:55Z,5
rollup,xl-5000,M3,18,13158,ms,2026-09-15T06:03:55Z,5
rollup,xl-5000,M3,19,14649,ms,2026-09-15T06:03:55Z,5
rollup,xl-5000,M3,20,14924,ms,2026-09-15T06:03:55Z,5
