tool,size,metric,run,value,unit,timestamp
rollup,xs-50,M10,1,462.02,MiB,2026-09-15T08:34:47Z
rollup,xs-50,M10,2,457.92,MiB,2026-09-15T08:34:47Z
rollup,xs-50,M10,3,467.86,MiB,2026-09-15T08:34:47Z
rollup,xs-50,M10,4,400.67,MiB,2026-09-15T08:34:47Z
rollup,xs-50,M10,5,472.63,MiB,2026-09-15T08:34:47Z
rollup,xs-50,M10,6,469.92,MiB,2026-09-15T08:34:47Z
rollup,xs-50,M10,7,406.23,MiB,2026-09-15T08:34:47Z
rollup,xs-50,M10,8,414.31,MiB,2026-09-15T08:34:47Z
rollup,xs-50,M10,9,406.41,MiB,2026-09-15T08:34:47Z
rollup,xs-50,M10,10,471.28,MiB,2026-09-15T08:34:47Z
