tool,size,metric,run,value,unit,timestamp,session
rollup,xs-50,M3,1,1311,ms,2026-09-15T03:53:31Z,1
rollup,xs-50,M3,2,1154,ms,2026-09-15T03:53:31Z,1
rollup,xs-50,M3,3,1466,ms,2026-09-15T03:53:31Z,1
rollup,xs-50,M3,4,1120,ms,2026-09-15T03:53:31Z,1
rollup,xs-50,M3,5,1152,ms,2026-09-15T03:53:31Z,2
rollup,xs-50,M3,6,1083,ms,2026-09-15T03:53:31Z,2
rollup,xs-50,M3,7,1199,ms,2026-09-15T03:53:31Z,2
rollup,xs-50,M3,8,1005,ms,2026-09-15T03:53:31Z,2
rollup,xs-50,M3,9,1193,ms,2026-09-15T03:53:31Z,3
rollup,xs-50,M3,10,1063,ms,2026-09-15T03:53:31Z,3
rollup,xs-50,M3,11,1019,ms,2026-09-15T03:53:31Z,3
rollup,xs-50,M3,12,1317,ms,2026-09-15T03:53:31Z,3
rollup,xs-50,M3,13,1187,ms,2026-09-15T03:53:31Z,4
rollup,xs-50,M3,14,1220,ms,2026-09-15T03:53:31Z,4
rollup,xs-50,M3,15,1122,ms,2026-09-15T03:53:31Z,4
rollup,xs-50,M3,16,1034,ms,2026-09-15T03:53:31Z,4
rollup,xs-50,M3,17,1142,ms,2026-09-15T03:53:31Z,5
rollup,xs-50,M3,18,1202,ms,2026-09-15T03:53:31Z,5
rollup,xs-50,M3,19,1197,ms,2026-09-15T03:53:31Z,5
rollup,xs-50,M3,20,1074,ms,2026-09-15T03:53:31Z,5
