tool,size,metric,run,value,unit,timestamp
rspack,l-2000,M2,1,7810,ms,2026-09-15T08:34:47Z
rspack,l-2000,M2,2,6500,ms,2026-09-15T08:34:47Z
rspack,l-2000,M2,3,5610,ms,2026-09-15T08:34:47Z
rspack,l-2000,M2,4,5580,ms,2026-09-15T08:34:47Z
rspack,l-2000,M2,5,5420,ms,2026-09-15T08:34:47Z
rspack,l-2000,M2,6,5710,ms,2026-09-15T08:34:47Z
rspack,l-2000,M2,7,5370,ms,2026-09-15T08:34:47Z
rspack,l-2000,M2,8,7210,ms,2026-09-15T08:34:47Z
rspack,l-2000,M2,9,5620,ms,2026-09-15T08:34:47Z
rspack,l-2000,M2,10,5660,ms,2026-09-15T08:34:47Z
