tool,size,metric,run,value,unit,timestamp
rspack,m-500,M1,1,4808,ms,2026-09-14T07:18:16Z
rspack,m-500,M1,2,1894,ms,2026-09-14T07:18:16Z
rspack,m-500,M1,3,1842,ms,2026-09-14T07:18:16Z
rspack,m-500,M1,4,1931,ms,2026-09-14T07:18:16Z
rspack,m-500,M1,5,1832,ms,2026-09-14T07:18:16Z
rspack,m-500,M1,6,1850,ms,2026-09-14T07:18:16Z
rspack,m-500,M1,7,2044,ms,2026-09-14T07:18:16Z
rspack,m-500,M1,8,1825,ms,2026-09-14T07:18:16Z
rspack,m-500,M1,9,1822,ms,2026-09-14T07:18:16Z
rspack,m-500,M1,10,1712,ms,2026-09-14T07:18:16Z
rspack,m-500,M1,11,1712,ms,2026-09-14T07:18:16Z
rspack,m-500,M1,12,1686,ms,2026-09-14T07:18:16Z
rspack,m-500,M1,13,1875,ms,2026-09-14T07:18:16Z
rspack,m-500,M1,14,1717,ms,2026-09-14T07:18:16Z
rspack,m-500,M1,15,1689,ms,2026-09-14T07:18:16Z
rspack,m-500,M1,16,1718,ms,2026-09-14T07:18:16Z
rspack,m-500,M1,17,1828,ms,2026-09-14T07:18:16Z
rspack,m-500,M1,18,1719,ms,2026-09-14T07:18:16Z
rspack,m-500,M1,19,2016,ms,2026-09-14T07:18:16Z
rspack,m-500,M1,20,1734,ms,2026-09-14T07:18:16Z
