tool,size,metric,run,value,unit,timestamp
rspack,s-200,M11,1,1.91,seconds,2026-09-15T08:34:47Z
rspack,s-200,M11,2,1.82,seconds,2026-09-15T08:34:47Z
rspack,s-200,M11,3,1.74,seconds,2026-09-15T08:34:47Z
rspack,s-200,M11,4,1.81,seconds,2026-09-15T08:34:47Z
rspack,s-200,M11,5,1.77,seconds,2026-09-15T08:34:47Z
rspack,s-200,M11,6,2.05,seconds,2026-09-15T08:34:47Z
rspack,s-200,M11,7,1.81,seconds,2026-09-15T08:34:47Z
rspack,s-200,M11,8,1.76,seconds,2026-09-15T08:34:47Z
rspack,s-200,M11,9,1.77,seconds,2026-09-15T08:34:47Z
rspack,s-200,M11,10,1.75,seconds,2026-09-15T08:34:47Z
