tool,size,metric,run,value,unit,timestamp,session
rspack,xs-50,M4,1,89,ms,2026-09-15T07:12:03Z,1
rspack,xs-50,M4,2,74,ms,2026-09-15T07:12:03Z,1
rspack,xs-50,M4,3,100,ms,2026-09-15T07:12:03Z,1
rspack,xs-50,M4,4,92,ms,2026-09-15T07:12:03Z,1
rspack,xs-50,M4,5,102,ms,2026-09-15T07:12:03Z,2
rspack,xs-50,M4,6,72,ms,2026-09-15T07:12:03Z,2
rspack,xs-50,M4,7,99,ms,2026-09-15T07:12:03Z,2
rspack,xs-50,M4,8,119,ms,2026-09-15T07:12:03Z,2
rspack,xs-50,M4,9,97,ms,2026-09-15T07:12:03Z,3
rspack,xs-50,M4,10,57,ms,2026-09-15T07:12:03Z,3
rspack,xs-50,M4,11,95,ms,2026-09-15T07:12:03Z,3
rspack,xs-50,M4,12,96,ms,2026-09-15T07:12:03Z,3
rspack,xs-50,M4,13,94,ms,2026-09-15T07:12:03Z,4
rspack,xs-50,M4,14,92,ms,2026-09-15T07:12:03Z,4
rspack,xs-50,M4,15,140,ms,2026-09-15T07:12:03Z,4
rspack,xs-50,M4,16,94,ms,2026-09-15T07:12:03Z,4
rspack,xs-50,M4,17,101,ms,2026-09-15T07:12:03Z,5
rspack,xs-50,M4,18,99,ms,2026-09-15T07:12:03Z,5
rspack,xs-50,M4,19,92,ms,2026-09-15T07:12:03Z,5
rspack,xs-50,M4,20,92,ms,2026-09-15T07:12:03Z,5
