tool,size,metric,run,value,unit,timestamp
vite,l-2000,M11,1,5.2,seconds,2026-09-15T08:34:47Z
vite,l-2000,M11,2,5.05,seconds,2026-09-15T08:34:47Z
vite,l-2000,M11,3,4.85,seconds,2026-09-15T08:34:47Z
vite,l-2000,M11,4,5.13,seconds,2026-09-15T08:34:47Z
vite,l-2000,M11,5,4.92,seconds,2026-09-15T08:34:47Z
vite,l-2000,M11,6,5.04,seconds,2026-09-15T08:34:47Z
vite,l-2000,M11,7,4.96,seconds,2026-09-15T08:34:47Z
vite,l-2000,M11,8,5.09,seconds,2026-09-15T08:34:47Z
vite,l-2000,M11,9,5.13,seconds,2026-09-15T08:34:47Z
vite,l-2000,M11,10,5.03,seconds,2026-09-15T08:34:47Z
