tool,size,metric,run,value,unit,timestamp,session
vite,m-500,M3,1,1737,ms,2026-09-15T03:53:31Z,1
vite,m-500,M3,2,1848,ms,2026-09-15T03:53:31Z,1
vite,m-500,M3,3,1811,ms,2026-09-15T03:53:31Z,1
vite,m-500,M3,4,1609,ms,2026-09-15T03:53:31Z,1
vite,m-500,M3,5,1531,ms,2026-09-15T03:53:31Z,2
vite,m-500,M3,6,1789,ms,2026-09-15T03:53:31Z,2
vite,m-500,M3,7,1579,ms,2026-09-15T03:53:31Z,2
vite,m-500,M3,8,1577,ms,2026-09-15T03:53:31Z,2
vite,m-500,M3,9,1772,ms,2026-09-15T03:53:31Z,3
vite,m-500,M3,10,1520,ms,2026-09-15T03:53:31Z,3
vite,m-500,M3,11,1491,ms,2026-09-15T03:53:31Z,3
vite,m-500,M3,12,1511,ms,2026-09-15T03:53:31Z,3
vite,m-500,M3,13,1697,ms,2026-09-15T03:53:31Z,4
vite,m-500,M3,14,1691,ms,2026-09-15T03:53:31Z,4
vite,m-500,M3,15,2094,ms,2026-09-15T03:53:31Z,4
vite,m-500,M3,16,1586,ms,2026-09-15T03:53:31Z,4
vite,m-500,M3,17,1659,ms,2026-09-15T03:53:31Z,5
vite,m-500,M3,18,1819,ms,2026-09-15T03:53:31Z,5
vite,m-500,M3,19,1621,ms,2026-09-15T03:53:31Z,5
vite,m-500,M3,20,1639,ms,2026-09-15T03:53:31Z,5
