tool,size,metric,run,value,unit,timestamp
vite,s-200,M10,1,392.34,MiB,2026-09-15T08:34:47Z
vite,s-200,M10,2,389.45,MiB,2026-09-15T08:34:47Z
vite,s-200,M10,3,390.34,MiB,2026-09-15T08:34:47Z
vite,s-200,M10,4,386.09,MiB,2026-09-15T08:34:47Z
vite,s-200,M10,5,393.22,MiB,2026-09-15T08:34:47Z
vite,s-200,M10,6,386.22,MiB,2026-09-15T08:34:47Z
vite,s-200,M10,7,383.23,MiB,2026-09-15T08:34:47Z
vite,s-200,M10,8,388.08,MiB,2026-09-15T08:34:47Z
vite,s-200,M10,9,389.78,MiB,2026-09-15T08:34:47Z
vite,s-200,M10,10,392.19,MiB,2026-09-15T08:34:47Z
