tool,size,metric,run,value,unit,timestamp,session
vite,s-200,M3,1,892,ms,2026-09-15T03:53:31Z,1
vite,s-200,M3,2,780,ms,2026-09-15T03:53:31Z,1
vite,s-200,M3,3,908,ms,2026-09-15T03:53:31Z,1
vite,s-200,M3,4,803,ms,2026-09-15T03:53:31Z,1
vite,s-200,M3,5,792,ms,2026-09-15T03:53:31Z,2
vite,s-200,M3,6,777,ms,2026-09-15T03:53:31Z,2
vite,s-200,M3,7,771,ms,2026-09-15T03:53:31Z,2
vite,s-200,M3,8,808,ms,2026-09-15T03:53:31Z,2
vite,s-200,M3,9,790,ms,2026-09-15T03:53:31Z,3
vite,s-200,M3,10,816,ms,2026-09-15T03:53:31Z,3
vite,s-200,M3,11,801,ms,2026-09-15T03:53:31Z,3
vite,s-200,M3,12,798,ms,2026-09-15T03:53:31Z,3
vite,s-200,M3,13,897,ms,2026-09-15T03:53:31Z,4
vite,s-200,M3,14,794,ms,2026-09-15T03:53:31Z,4
vite,s-200,M3,15,811,ms,2026-09-15T03:53:31Z,4
vite,s-200,M3,16,1126,ms,2026-09-15T03:53:31Z,4
vite,s-200,M3,17,811,ms,2026-09-15T03:53:31Z,5
vite,s-200,M3,18,780,ms,2026-09-15T03:53:31Z,5
vite,s-200,M3,19,1080,ms,2026-09-15T03:53:31Z,5
vite,s-200,M3,20,822,ms,2026-09-15T03:53:31Z,5
