tool,size,metric,run,value,unit,timestamp
vite,xl-5000,M1,1,858,ms,2026-09-11T21:10:52Z
vite,xl-5000,M1,2,868,ms,2026-09-11T21:10:52Z
vite,xl-5000,M1,3,859,ms,2026-09-11T21:10:52Z
vite,xl-5000,M1,4,849,ms,2026-09-11T21:10:52Z
vite,xl-5000,M1,5,865,ms,2026-09-11T21:10:52Z
vite,xl-5000,M1,6,852,ms,2026-09-11T21:10:52Z
vite,xl-5000,M1,7,860,ms,2026-09-11T21:10:52Z
vite,xl-5000,M1,8,864,ms,2026-09-11T21:10:52Z
vite,xl-5000,M1,9,863,ms,2026-09-11T21:10:52Z
vite,xl-5000,M1,10,872,ms,2026-09-11T21:10:52Z
vite,xl-5000,M1,11,868,ms,2026-09-11T21:10:52Z
vite,xl-5000,M1,12,885,ms,2026-09-11T21:10:52Z
vite,xl-5000,M1,13,860,ms,2026-09-11T21:10:52Z
vite,xl-5000,M1,14,863,ms,2026-09-11T21:10:52Z
vite,xl-5000,M1,15,850,ms,2026-09-11T21:10:52Z
vite,xl-5000,M1,16,864,ms,2026-09-11T21:10:52Z
vite,xl-5000,M1,17,850,ms,2026-09-11T21:10:52Z
vite,xl-5000,M1,18,869,ms,2026-09-11T21:10:52Z
vite,xl-5000,M1,19,860,ms,2026-09-11T21:10:52Z
vite,xl-5000,M1,20,879,ms,2026-09-11T21:10:52Z
