tool,size,metric,run,value,unit,timestamp,session
vite,xl-5000,M3,1,5179,ms,2026-09-15T03:53:31Z,1
vite,xl-5000,M3,2,5531,ms,2026-09-15T03:53:31Z,1
vite,xl-5000,M3,3,5112,ms,2026-09-15T03:53:31Z,1
vite,xl-5000,M3,4,5318,ms,2026-09-15T03:53:31Z,1
vite,xl-5000,M3,5,5228,ms,2026-09-15T03:53:31Z,2
vite,xl-5000,M3,6,5218,ms,2026-09-15T03:53:31Z,2
vite,xl-5000,M3,7,5228,ms,2026-09-15T03:53:31Z,2
vite,xl-5000,M3,8,5239,ms,2026-09-15T03:53:31Z,2
vite,xl-5000,M3,9,6689,ms,2026-09-15T06:03:55Z,3
vite,xl-5000,M3,10,4515,ms,2026-09-15T06:03:55Z,3
vite,xl-5000,M3,11,4587,ms,2026-09-15T06:03:55Z,3
vite,xl-5000,M3,12,4529,ms,2026-09-15T06:03:55Z,3
vite,xl-5000,M3,13,4545,ms,2026-09-15T06:03:55Z,4
vite,xl-5000,M3,14,4652,ms,2026-09-15T06:03:55Z,4
vite,xl-5000,M3,15,4502,ms,2026-09-15T06:03:55Z,4
vite,xl-5000,M3,16,4671,ms,2026-09-15T06:03:55Z,4
vite,xl-5000,M3,17,4590,ms,2026-09-15T06:03:55Z,5
vite,xl-5000,M3,18,4615,ms,2026-09-15T06:03:55Z,5
vite,xl-5000,M3,19,4546,ms,2026-09-15T06:03:55Z,5
vite,xl-5000,M3,20,4606,ms,2026-09-15T06:03:55Z,5
