tool,size,metric,run,value,unit,timestamp,session
vite,xs-50,M3,1,394,ms,2026-09-15T03:53:31Z,1
vite,xs-50,M3,2,376,ms,2026-09-15T03:53:31Z,1
vite,xs-50,M3,3,363,ms,2026-09-15T03:53:31Z,1
vite,xs-50,M3,4,415,ms,2026-09-15T03:53:31Z,1
vite,xs-50,M3,5,336,ms,2026-09-15T03:53:31Z,2
vite,xs-50,M3,6,411,ms,2026-09-15T03:53:31Z,2
vite,xs-50,M3,7,341,ms,2026-09-15T03:53:31Z,2
vite,xs-50,M3,8,346,ms,2026-09-15T03:53:31Z,2
vite,xs-50,M3,9,347,ms,2026-09-15T03:53:31Z,3
vite,xs-50,M3,10,357,ms,2026-09-15T03:53:31Z,3
vite,xs-50,M3,11,340,ms,2026-09-15T03:53:31Z,3
vite,xs-50,M3,12,333,ms,2026-09-15T03:53:31Z,3
vite,xs-50,M3,13,351,ms,2026-09-15T03:53:31Z,4
vite,xs-50,M3,14,450,ms,2026-09-15T03:53:31Z,4
vite,xs-50,M3,15,352,ms,2026-09-15T03:53:31Z,4
vite,xs-50,M3,16,331,ms,2026-09-15T03:53:31Z,4
vite,xs-50,M3,17,350,ms,2026-09-15T03:53:31Z,5
vite,xs-50,M3,18,359,ms,2026-09-15T03:53:31Z,5
vite,xs-50,M3,19,340,ms,2026-09-15T03:53:31Z,5
vite,xs-50,M3,20,424,ms,2026-09-15T03:53:31Z,5
