tool,size,metric,run,value,unit,timestamp
webpack,m-500,M11,1,28.2,seconds,2026-09-15T08:34:47Z
webpack,m-500,M11,2,27.57,seconds,2026-09-15T08:34:47Z
webpack,m-500,M11,3,28.2,seconds,2026-09-15T08:34:47Z
webpack,m-500,M11,4,28.7,seconds,2026-09-15T08:34:47Z
webpack,m-500,M11,5,27.26,seconds,2026-09-15T08:34:47Z
webpack,m-500,M11,6,26.92,seconds,2026-09-15T08:34:47Z
webpack,m-500,M11,7,27.67,seconds,2026-09-15T08:34:47Z
webpack,m-500,M11,8,26.61,seconds,2026-09-15T08:34:47Z
webpack,m-500,M11,9,27.95,seconds,2026-09-15T08:34:47Z
webpack,m-500,M11,10,27.34,seconds,2026-09-15T08:34:47Z
