tool,size,metric,run,value,unit,timestamp,session
webpack,m-500,M3,1,463,ms,2026-09-15T03:53:31Z,1
webpack,m-500,M3,2,383,ms,2026-09-15T03:53:31Z,1
webpack,m-500,M3,3,369,ms,2026-09-15T03:53:31Z,1
webpack,m-500,M3,4,401,ms,2026-09-15T03:53:31Z,1
webpack,m-500,M3,5,435,ms,2026-09-15T03:53:31Z,2
webpack,m-500,M3,6,384,ms,2026-09-15T03:53:31Z,2
webpack,m-500,M3,7,354,ms,2026-09-15T03:53:31Z,2
webpack,m-500,M3,8,378,ms,2026-09-15T03:53:31Z,2
webpack,m-500,M3,9,494,ms,2026-09-15T03:53:31Z,3
webpack,m-500,M3,10,373,ms,2026-09-15T03:53:31Z,3
webpack,m-500,M3,11,377,ms,2026-09-15T03:53:31Z,3
webpack,m-500,M3,12,392,ms,2026-09-15T03:53:31Z,3
webpack,m-500,M3,13,447,ms,2026-09-15T03:53:31Z,4
webpack,m-500,M3,14,403,ms,2026-09-15T03:53:31Z,4
webpack,m-500,M3,15,356,ms,2026-09-15T03:53:31Z,4
webpack,m-500,M3,16,400,ms,2026-09-15T03:53:31Z,4
webpack,m-500,M3,17,450,ms,2026-09-15T03:53:31Z,5
webpack,m-500,M3,18,370,ms,2026-09-15T03:53:31Z,5
webpack,m-500,M3,19,358,ms,2026-09-15T03:53:31Z,5
webpack,m-500,M3,20,401,ms,2026-09-15T03:53:31Z,5
