tool,size,metric,run,value,unit,timestamp
webpack,s-200,M10,1,931.05,MiB,2026-09-15T08:34:47Z
webpack,s-200,M10,2,895.33,MiB,2026-09-15T08:34:47Z
webpack,s-200,M10,3,843.7,MiB,2026-09-15T08:34:47Z
webpack,s-200,M10,4,940.64,MiB,2026-09-15T08:34:47Z
webpack,s-200,M10,5,913.69,MiB,2026-09-15T08:34:47Z
webpack,s-200,M10,6,893.66,MiB,2026-09-15T08:34:47Z
webpack,s-200,M10,7,912.13,MiB,2026-09-15T08:34:47Z
webpack,s-200,M10,8,908.56,MiB,2026-09-15T08:34:47Z
webpack,s-200,M10,9,831.17,MiB,2026-09-15T08:34:47Z
webpack,s-200,M10,10,899.44,MiB,2026-09-15T08:34:47Z
