tool,size,metric,run,value,unit,timestamp
webpack,xl-5000,M2,1,127910,ms,2026-09-15T08:34:47Z
webpack,xl-5000,M2,2,125540,ms,2026-09-15T08:34:47Z
webpack,xl-5000,M2,3,123790,ms,2026-09-15T08:34:47Z
webpack,xl-5000,M2,4,120960,ms,2026-09-15T08:34:47Z
webpack,xl-5000,M2,5,122080,ms,2026-09-15T08:34:47Z
webpack,xl-5000,M2,6,119660,ms,2026-09-15T08:34:47Z
webpack,xl-5000,M2,7,109890,ms,2026-09-15T08:34:47Z
webpack,xl-5000,M2,8,123330,ms,2026-09-15T08:34:47Z
webpack,xl-5000,M2,9,120900,ms,2026-09-15T08:34:47Z
webpack,xl-5000,M2,10,119850,ms,2026-09-15T08:34:47Z
