tool,size,metric,run,value,unit,timestamp,session
webpack,xl-5000,M3,1,4250,ms,2026-09-15T03:53:31Z,1
webpack,xl-5000,M3,2,3824,ms,2026-09-15T03:53:31Z,1
webpack,xl-5000,M3,3,3813,ms,2026-09-15T03:53:31Z,1
webpack,xl-5000,M3,4,3735,ms,2026-09-15T03:53:31Z,1
webpack,xl-5000,M3,5,3993,ms,2026-09-15T03:53:31Z,2
webpack,xl-5000,M3,6,3838,ms,2026-09-15T03:53:31Z,2
webpack,xl-5000,M3,7,3727,ms,2026-09-15T03:53:31Z,2
webpack,xl-5000,M3,8,3858,ms,2026-09-15T03:53:31Z,2
webpack,xl-5000,M3,9,3956,ms,2026-09-15T03:53:31Z,3
webpack,xl-5000,M3,10,3929,ms,2026-09-15T03:53:31Z,3
webpack,xl-5000,M3,11,3985,ms,2026-09-15T03:53:31Z,3
webpack,xl-5000,M3,12,4198,ms,2026-09-15T03:53:31Z,3
webpack,xl-5000,M3,13,3620,ms,2026-09-15T06:03:55Z,4
webpack,xl-5000,M3,14,3380,ms,2026-09-15T06:03:55Z,4
webpack,xl-5000,M3,15,3701,ms,2026-09-15T06:03:55Z,4
webpack,xl-5000,M3,16,3442,ms,2026-09-15T06:03:55Z,4
webpack,xl-5000,M3,17,3584,ms,2026-09-15T06:03:55Z,5
webpack,xl-5000,M3,18,3515,ms,2026-09-15T06:03:55Z,5
webpack,xl-5000,M3,19,3408,ms,2026-09-15T06:03:55Z,5
webpack,xl-5000,M3,20,3445,ms,2026-09-15T06:03:55Z,5
