tool,size,metric,run,value,unit,timestamp
webpack,xs-50,M10,1,458.52,MiB,2026-09-15T08:34:47Z
webpack,xs-50,M10,2,481.91,MiB,2026-09-15T08:34:47Z
webpack,xs-50,M10,3,484.95,MiB,2026-09-15T08:34:47Z
webpack,xs-50,M10,4,462.34,MiB,2026-09-15T08:34:47Z
webpack,xs-50,M10,5,463.64,MiB,2026-09-15T08:34:47Z
webpack,xs-50,M10,6,485.31,MiB,2026-09-15T08:34:47Z
webpack,xs-50,M10,7,483.23,MiB,2026-09-15T08:34:47Z
webpack,xs-50,M10,8,461.97,MiB,2026-09-15T08:34:47Z
webpack,xs-50,M10,9,458.42,MiB,2026-09-15T08:34:47Z
webpack,xs-50,M10,10,477.06,MiB,2026-09-15T08:34:47Z
