tool,size,metric,run,value,unit,timestamp,session
webpack,xs-50,M4,1,164,ms,2026-09-15T07:12:03Z,1
webpack,xs-50,M4,2,158,ms,2026-09-15T07:12:03Z,1
webpack,xs-50,M4,3,171,ms,2026-09-15T07:12:03Z,1
webpack,xs-50,M4,4,166,ms,2026-09-15T07:12:03Z,1
webpack,xs-50,M4,5,154,ms,2026-09-15T07:12:03Z,2
webpack,xs-50,M4,6,183,ms,2026-09-15T07:12:03Z,2
webpack,xs-50,M4,7,152,ms,2026-09-15T07:12:03Z,2
webpack,xs-50,M4,8,152,ms,2026-09-15T07:12:03Z,2
webpack,xs-50,M4,9,161,ms,2026-09-15T07:12:03Z,3
webpack,xs-50,M4,10,182,ms,2026-09-15T07:12:03Z,3
webpack,xs-50,M4,11,152,ms,2026-09-15T07:12:03Z,3
webpack,xs-50,M4,12,296,ms,2026-09-15T07:12:03Z,3
webpack,xs-50,M4,13,144,ms,2026-09-15T07:12:03Z,4
webpack,xs-50,M4,14,137,ms,2026-09-15T07:12:03Z,4
webpack,xs-50,M4,15,154,ms,2026-09-15T07:12:03Z,4
webpack,xs-50,M4,16,111,ms,2026-09-15T07:12:03Z,4
webpack,xs-50,M4,17,162,ms,2026-09-15T07:12:03Z,5
webpack,xs-50,M4,18,146,ms,2026-09-15T07:12:03Z,5
webpack,xs-50,M4,19,147,ms,2026-09-15T07:12:03Z,5
webpack,xs-50,M4,20,146,ms,2026-09-15T07:12:03Z,5
