tool,size,metric,run,value,unit,timestamp
vite,bp-react,M11,1,3.15,seconds,2026-09-15T08:34:47Z
vite,bp-react,M11,2,2.67,seconds,2026-09-15T08:34:47Z
vite,bp-react,M11,3,2.5,seconds,2026-09-15T08:34:47Z
vite,bp-react,M11,4,2.48,seconds,2026-09-15T08:34:47Z
vite,bp-react,M11,5,2.43,seconds,2026-09-15T08:34:47Z
vite,bp-react,M11,6,2.47,seconds,2026-09-15T08:34:47Z
vite,bp-react,M11,7,2.45,seconds,2026-09-15T08:34:47Z
vite,bp-react,M11,8,2.49,seconds,2026-09-15T08:34:47Z
vite,bp-react,M11,9,2.5,seconds,2026-09-15T08:34:47Z
vite,bp-react,M11,10,2.51,seconds,2026-09-15T08:34:47Z
