tool,size,metric,run,value,unit,timestamp,session
vite,bp-react,M4,1,145,ms,2026-09-15T07:12:03Z,1
vite,bp-react,M4,2,45,ms,2026-09-15T07:12:03Z,1
vite,bp-react,M4,3,44,ms,2026-09-15T07:12:03Z,1
vite,bp-react,M4,4,45,ms,2026-09-15T07:12:03Z,1
vite,bp-react,M4,5,145,ms,2026-09-15T07:12:03Z,2
vite,bp-react,M4,6,45,ms,2026-09-15T07:12:03Z,2
vite,bp-react,M4,7,114,ms,2026-09-15T07:12:03Z,2
vite,bp-react,M4,8,91,ms,2026-09-15T07:12:03Z,2
vite,bp-react,M4,9,64,ms,2026-09-15T07:12:03Z,3
vite,bp-react,M4,10,89,ms,2026-09-15T07:12:03Z,3
vite,bp-react,M4,11,44,ms,2026-09-15T07:12:03Z,3
vite,bp-react,M4,12,94,ms,2026-09-15T07:12:03Z,3
vite,bp-react,M4,13,124,ms,2026-09-15T07:12:03Z,4
vite,bp-react,M4,14,99,ms,2026-09-15T07:12:03Z,4
vite,bp-react,M4,15,143,ms,2026-09-15T07:12:03Z,4
vite,bp-react,M4,16,145,ms,2026-09-15T07:12:03Z,4
vite,bp-react,M4,17,144,ms,2026-09-15T07:12:03Z,5
vite,bp-react,M4,18,33,ms,2026-09-15T07:12:03Z,5
vite,bp-react,M4,19,84,ms,2026-09-15T07:12:03Z,5
vite,bp-react,M4,20,145,ms,2026-09-15T07:12:03Z,5
