tool,size,metric,run,value,unit,timestamp
webpack,bp-react,M11,1,17.69,seconds,2026-09-15T08:34:47Z
webpack,bp-react,M11,2,17.18,seconds,2026-09-15T08:34:47Z
webpack,bp-react,M11,3,17,seconds,2026-09-15T08:34:47Z
webpack,bp-react,M11,4,16.54,seconds,2026-09-15T08:34:47Z
webpack,bp-react,M11,5,17.54,seconds,2026-09-15T08:34:47Z
webpack,bp-react,M11,6,16.53,seconds,2026-09-15T08:34:47Z
webpack,bp-react,M11,7,16.35,seconds,2026-09-15T08:34:47Z
webpack,bp-react,M11,8,17.39,seconds,2026-09-15T08:34:47Z
webpack,bp-react,M11,9,17.69,seconds,2026-09-15T08:34:47Z
webpack,bp-react,M11,10,16.74,seconds,2026-09-15T08:34:47Z
