tool,size,metric,run,value,unit,timestamp,session
webpack,bp-react,M4,1,230,ms,2026-09-15T07:12:03Z,1
webpack,bp-react,M4,2,233,ms,2026-09-15T07:12:03Z,1
webpack,bp-react,M4,3,220,ms,2026-09-15T07:12:03Z,1
webpack,bp-react,M4,4,248,ms,2026-09-15T07:12:03Z,1
webpack,bp-react,M4,5,236,ms,2026-09-15T07:12:03Z,2
webpack,bp-react,M4,6,226,ms,2026-09-15T07:12:03Z,2
webpack,bp-react,M4,7,218,ms,2026-09-15T07:12:03Z,2
webpack,bp-react,M4,8,235,ms,2026-09-15T07:12:03Z,2
webpack,bp-react,M4,9,250,ms,2026-09-15T07:12:03Z,3
webpack,bp-react,M4,10,228,ms,2026-09-15T07:12:03Z,3
webpack,bp-react,M4,11,214,ms,2026-09-15T07:12:03Z,3
webpack,bp-react,M4,12,221,ms,2026-09-15T07:12:03Z,3
webpack,bp-react,M4,13,238,ms,2026-09-15T07:12:03Z,4
webpack,bp-react,M4,14,245,ms,2026-09-15T07:12:03Z,4
webpack,bp-react,M4,15,225,ms,2026-09-15T07:12:03Z,4
webpack,bp-react,M4,16,236,ms,2026-09-15T07:12:03Z,4
webpack,bp-react,M4,17,229,ms,2026-09-15T07:12:03Z,5
webpack,bp-react,M4,18,236,ms,2026-09-15T07:12:03Z,5
webpack,bp-react,M4,19,233,ms,2026-09-15T07:12:03Z,5
webpack,bp-react,M4,20,219,ms,2026-09-15T07:12:03Z,5
